Pp01	SNP_IGA_17419
Pp01	SNP_IGA_19514
Pp01	SNP_IGA_67137
Pp01	SNP_IGA_79455
Pp01	SNP_IGA_86968
Pp02	SNP_IGA_136625
Pp02	SNP_IGA_148760
Pp02	SNP_IGA_195134
Pp02	SNP_IGA_218801
Pp02	SNP_IGA_242118
Pp02	SNP_IGA_252957
Pp02	SNP_IGA_258854
Pp02	SNP_IGA_266063
Pp02	SNP_IGA_275502
Pp02	SNP_IGA_283325
Pp02	SNP_IGA_285058
Pp03	SNP_IGA_898654
Pp03	SNP_IGA_325850
Pp03	SNP_IGA_344612
Pp03	SNP_IGA_349233
Pp03	SNP_IGA_356179
Pp04	SNP_IGA_368926
Pp04	SNP_IGA_379856
Pp04	SNP_IGA_389204
Pp04	SNP_IGA_395253
Pp04	SNP_IGA_398213
Pp04	SNP_IGA_403741
Pp04	SNP_IGA_409453
Pp04	SNP_IGA_440116
Pp04	SNP_IGA_454568
Pp04	SNP_IGA_480804
Pp04	SNP_IGA_513502
Pp04	SNP_IGA_528949
Pp05	SNP_IGA_544495
Pp05	SNP_IGA_548037
Pp05	SNP_IGA_553456
Pp05	SNP_IGA_571548
Pp05	SNP_IGA_572589
Pp05	SNP_IGA_585810
Pp05	SNP_IGA_591439
Pp05	SNP_IGA_595126
Pp05	SNP_IGA_596393
Pp05	SNP_IGA_600493
Pp05	SNP_IGA_602605
Pp06	SNP_IGA_640395
Pp06	SNP_IGA_655825
Pp06	SNP_IGA_663057
Pp06	SNP_IGA_691624
Pp06	SNP_IGA_696341
Pp06	SNP_IGA_700653
Pp07	SNP_Pp07-5647370
Pp07	SNP_IGA_752104
Pp07	SNP_IGA_758767
Pp07	SNP_IGA_774557
Pp07	SNP_IGA_776826
Pp07	SNP_IGA_781003
Pp07	SNP_IGA_784777
Pp08	SNP_IGA_821894
Pp08	SNP_IGA_851849
Pp08	SNP_IGA_871082
Pp08	SNP_IGA_878044
Pp08	SNP_IGA_884755
